Date,Symbol,DeFiLlama_ID,Source,Price_USD
2017-11-29 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-11-30 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-01 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-02 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-03 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-04 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-05 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-06 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-07 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-08 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-09 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-10 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-11 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-12 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-13 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-14 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-15 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-16 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-17 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-18 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-19 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-20 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-21 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-22 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
2017-12-23 00:00:00+00:00,USDT,1,DeFiLlama,1.0012276075293263
