Year,Month,GEPU_current,GEPU_ppp
1997,1,77.6165645638669,81.8456652643875
1997,2,77.885979802493,78.8634620969919
1997,3,68.952539564158,68.3252796134779
1997,4,73.7684807836665,75.2468641554647
1997,5,77.3498390895215,84.7475911170143
1997,6,81.268321426862,86.1712015735897
1997,7,66.485892502431,67.3785029902149
1997,8,63.7096723683278,60.9729776518343
1997,9,66.1133087408445,62.2334429694983
1997,10,80.4566998918207,76.3866519099678
1997,11,95.6049063392316,86.0491746261536
1997,12,111.289276053938,97.9550451872871
1998,1,102.28669423729,93.1698391345154
1998,2,83.6856451299635,78.3194181670752
1998,3,87.5423922606731,82.7146743142234
1998,4,80.0277830126969,75.3095679294732
1998,5,85.2840789465628,81.6660228609381
1998,6,84.4059250902435,80.8450189146056
1998,7,103.066592384427,97.6035301339513
1998,8,114.496278981977,108.541476402878
1998,9,150.039102707929,153.704315637446
1998,10,118.942456689301,112.624953319262
1998,11,101.045649631464,97.0827693046127
1998,12,96.9148648127689,97.0706235512856
1999,1,99.8988855940285,98.3795453167137
1999,2,79.4462206635027,76.1970058851789
1999,3,63.3446269542342,58.9411484645059
1999,4,67.1564875202673,66.5297850835896
1999,5,69.066654281711,68.082721982458
1999,6,71.2661839658757,69.9965780740181
1999,7,72.6635036841182,72.0142524224467
1999,8,67.2402560519875,71.1575741299113
1999,9,69.5980541641401,68.731077008591
1999,10,67.176087135164,68.9770433783096
1999,11,69.7026141056835,67.8806011702868
1999,12,62.8036699725169,61.6315430153102
2000,1,67.3436110040065,69.3365076815513
2000,2,62.1725858716283,60.2550718710207
2000,3,62.8692825124648,61.7535533551985
2000,4,65.1133000357063,61.9300726286512
2000,5,87.8203410733659,84.026473636735
2000,6,90.3583148541953,86.3377868903708
2000,7,68.421229402373,64.858634409096
2000,8,55.5794363419571,54.0285536249524
2000,9,60.6675861971283,62.9084868218762
2000,10,70.2830518409774,70.056520716145
2000,11,106.939871149598,98.7226619089344
2000,12,100.922841403865,94.5608657976975
2001,1,101.387693403767,95.4402244584673
2001,2,98.3819718688164,91.0087518335544
2001,3,110.101841428176,100.384483632916
2001,4,106.331379471523,94.805711873913
2001,5,84.8704292056918,79.1220523919567
2001,6,73.9336655034951,70.327317153842
2001,7,96.6748360642872,87.6029439849534
2001,8,82.4503867085598,77.502208256147
2001,9,180.374115208441,167.458576291684
2001,10,169.634895100117,160.119646031383
2001,11,126.426964151881,121.329119745862
2001,12,110.163355645414,105.23860902907
2002,1,107.327580992662,103.607328845195
2002,2,85.8687595494986,79.7616012742178
2002,3,77.5795834006778,75.5124069733508
2002,4,82.6371673587395,80.9578122572092
2002,5,80.7528336239486,79.1398567911457
2002,6,92.1406403480749,90.1431520801283
2002,7,102.586882060485,98.4671027987941
2002,8,107.036626529846,102.859705225699
2002,9,122.133265432693,118.235823796199
2002,10,116.87698332185,114.404724283827
2002,11,123.326535159063,117.532643576598
2002,12,121.754488610049,118.541739494882
2003,1,131.674041515273,123.419063827409
2003,2,140.351795053391,133.303328742177
2003,3,174.072539113766,166.313739252069
2003,4,138.386467047853,134.182959795841
2003,5,106.52224509431,102.909528704503
2003,6,88.3897128088105,82.6081881384179
2003,7,81.4685291715388,83.130402185078
2003,8,70.7070407177575,72.6074667983281
2003,9,80.4967667458247,77.2361030147916
2003,10,76.6641521673257,78.3519152515572
2003,11,75.5088460833496,77.9749917840218
2003,12,73.6944770912599,75.4938921315644
2004,1,73.6154973923507,78.4852082120783
2004,2,73.2409697567056,79.6021211583157
2004,3,78.2242942485288,75.9912217468028
2004,4,77.6926694161634,79.9294141052984
2004,5,90.5209586577654,97.036202683901
2004,6,76.7257778291373,77.2148810428824
2004,7,75.1384143804261,73.1474718910838
2004,8,68.849769444745,68.038774585761
2004,9,76.7952830129201,73.11996411102
2004,10,89.1248206030288,89.652836454632
2004,11,84.3427470333799,81.9004915766434
2004,12,66.6535606738235,69.1622614602927
2005,1,59.0302216242294,65.4195182344249
2005,2,55.3945115177323,58.262355144808
2005,3,53.3999485836255,56.1346830606753
2005,4,72.8213028393506,78.528635944702
2005,5,67.9880438516679,65.3544049265548
2005,6,70.7229325927356,71.2994723652545
2005,7,63.9929045240624,65.5985390807799
2005,8,61.6523603571185,62.7074645551114
2005,9,92.7372298984098,91.342274927412
2005,10,66.8329086336418,69.636569496886
2005,11,65.8522004392354,64.0517968079743
2005,12,61.4919619735132,65.6779619611235
2006,1,70.5736279739642,76.5718432667092
2006,2,58.8276718907811,59.9242759680385
2006,3,58.8457210351508,61.4579863822322
2006,4,71.1810060040269,73.3060869834469
2006,5,63.615386473123,63.7820912206584
2006,6,73.5499131862179,74.0841452174051
2006,7,69.9861304767075,71.6926425601975
2006,8,60.6114940865261,64.3684521931067
2006,9,57.2562552712654,56.4264210439749
2006,10,60.4503193447804,64.9904526918272
2006,11,58.1636776862304,63.1597729627737
2006,12,56.6585622565719,59.9929763580508
2007,1,63.7457928357655,64.3048230974535
2007,2,54.7550840961362,57.4762073965873
2007,3,64.1745442858684,66.0245559644294
2007,4,59.5878577276963,62.8512219489291
2007,5,58.2751024113178,58.4258358160234
2007,6,57.6518303264793,58.5190886083842
2007,7,47.5680549973902,51.2161882636088
2007,8,78.5248320238914,76.8525532888873
2007,9,99.0008566624749,93.9339046312732
2007,10,79.0743256836981,78.5586934217194
2007,11,82.5168522536636,78.7755719199338
2007,12,96.5798494473646,98.3986544611997
2008,1,134.674764891475,132.507223862416
2008,2,98.2123831418713,96.5173557614606
2008,3,117.777653926139,124.716657128132
2008,4,91.3326186959153,96.7133094493325
2008,5,77.8397279985944,80.1946408122487
2008,6,87.1327340698971,91.0628132069318
2008,7,95.8407997276668,104.896192179585
2008,8,89.6543515328438,95.9023417974598
2008,9,162.064067365059,157.925087459881
2008,10,207.669825880532,207.151906482632
2008,11,143.300244807642,144.706524838355
2008,12,144.492670973328,146.658831323114
2009,1,145.678037242153,145.335064551984
2009,2,147.506420586186,144.619893915482
2009,3,131.573341634542,134.164310435122
2009,4,101.833293163878,103.230354825609
2009,5,103.118714089198,99.8102722946663
2009,6,116.015667146029,125.324822987176
2009,7,104.888151758535,112.872953948097
2009,8,101.687360137735,105.242541432417
2009,9,106.282115170175,115.107574556885
2009,10,91.8503618399487,96.1295662583392
2009,11,104.451836843994,106.476034174676
2009,12,101.854028006857,103.284090684973
2010,1,117.795861827589,119.062871233839
2010,2,113.098165003304,116.95971486066
2010,3,113.050885552998,117.038581635297
2010,4,108.665566174582,108.330530330996
2010,5,145.767124106028,141.715933661858
2010,6,136.081855184582,137.401623265066
2010,7,147.009474133971,144.30861322017
2010,8,122.217251492511,120.012935549957
2010,9,132.229391340992,126.359020257539
2010,10,126.233733416394,123.073408965102
2010,11,130.118326335866,126.37667603316
2010,12,133.111603192517,136.39992007347
2011,1,113.735016855096,120.355568800601
2011,2,96.0750248072293,96.5339232676173
2011,3,129.18926018116,128.921129532175
2011,4,117.529223601268,119.937600670701
2011,5,92.8868516999675,92.5210335279035
