Date,ETH_Adjusted_Close_USD,ETH_Daily_Return,ETH_Daily_Return_Percent
2020-01-01,130.802001953125,,
2020-01-02,127.4101791381836,-0.025930970201487602,-2.59309702014876
2020-01-03,134.1717071533203,0.053068978168561154,5.306897816856115
2020-01-04,135.06936645507812,0.0066903769863495555,0.6690376986349555
2020-01-05,136.2767791748047,0.008939204731726713,0.8939204731726713
2020-01-06,144.3041534423828,0.05890493095145177,5.890493095145177
2020-01-07,143.5439910888672,-0.005267778753292318,-0.5267778753292318
2020-01-08,141.2581329345703,-0.015924443349786155,-1.5924443349786155
2020-01-09,138.9792022705078,-0.016133093484380745,-1.6133093484380745
2020-01-10,143.96377563476562,0.03586560638444225,3.586560638444225
2020-01-11,142.92710876464844,-0.007200886928300676,-0.7200886928300676
2020-01-12,145.87393188476562,0.0206176641057616,2.06176641057616
2020-01-13,144.22659301757812,-0.01129289411687917,-1.129289411687917
2020-01-14,165.95535278320312,0.15065709666300386,15.065709666300386
2020-01-15,166.23068237304688,0.0016590582058744197,0.16590582058744197
2020-01-16,164.39100646972656,-0.01106700566380281,-1.106700566380281
2020-01-17,170.7799530029297,0.038864331269726105,3.8864331269726105
2020-01-18,175.3656768798828,0.02685165206055795,2.685165206055795
2020-01-19,166.9698486328125,-0.047876120324395366,-4.787612032439537
2020-01-20,167.12051391601562,0.0009023502412968121,0.09023502412968121
2020-01-21,169.69715881347656,0.01541788519604359,1.541788519604359
2020-01-22,168.29415893554688,-0.008267668638293424,-0.8267668638293424
2020-01-23,162.92855834960938,-0.03188227458323378,-3.1882274583233783
2020-01-24,163.05117797851562,0.0007525975197246737,0.07525975197246737
2020-01-25,161.283935546875,-0.01083857506306074,-1.083857506306074
2020-01-26,168.0771026611328,0.04211930401638453,4.211930401638453
2020-01-27,170.93089294433594,0.016979054481661038,1.6979054481661038
2020-01-28,176.3703155517578,0.03182234945202822,3.182234945202822
2020-01-29,175.0503387451172,-0.007484121137455557,-0.7484121137455557
2020-01-30,184.6904754638672,0.05507065446349446,5.507065446349446
2020-01-31,180.16017150878906,-0.02452916937757532,-2.452916937757532
2020-02-01,183.6739501953125,0.019503637552609865,1.9503637552609865
2020-02-02,188.61753845214844,0.026915021164291897,2.6915021164291897
2020-02-03,189.8650665283203,0.006614061907548319,0.6614061907548319
2020-02-04,189.25059509277344,-0.00323635857181348,-0.323635857181348
2020-02-05,204.23023986816406,0.07915243155799523,7.915243155799523
2020-02-06,212.33908081054688,0.03970440884570903,3.9704408845709027
2020-02-07,222.72605895996094,0.04891694034731886,4.891694034731886
2020-02-08,223.14651489257812,0.0018877716176568526,0.18877716176568526
2020-02-09,228.5785675048828,0.02434298655714895,2.434298655714895
2020-02-10,223.522705078125,-0.02211870728715548,-2.211870728715548
2020-02-11,235.8511962890625,0.055155431331365135,5.5155431331365135
2020-02-12,265.4061279296875,0.12531177329455678,12.531177329455678
2020-02-13,268.0992431640625,0.010147147902660691,1.0147147902660691
2020-02-14,284.2174987792969,0.060120481598565645,6.0120481598565645
2020-02-15,264.72857666015625,-0.06857045116097638,-6.857045116097638
2020-02-16,259.89471435546875,-0.018259692118138604,-1.8259692118138604
2020-02-17,266.3634338378906,0.02488976929932618,2.488976929932618
2020-02-18,281.944580078125,0.05849581534422277,5.849581534422277
2020-02-19,259.76397705078125,-0.07867008126631714,-7.867008126631713
2020-02-20,257.949462890625,-0.006985241682689214,-0.6985241682689214
2020-02-21,265.6006164550781,0.029661444062387243,2.9661444062387243
2020-02-22,262.33172607421875,-0.012307540639357906,-1.2307540639357906
2020-02-23,273.754150390625,0.04354190965516169,4.354190965516169
2020-02-24,265.2164306640625,-0.031187544424001845,-3.1187544424001845
2020-02-25,247.81759643554688,-0.06560239946277657,-6.560239946277657
