Datetime_UTC,Open,High,Low,Close,Adj Close,Volume
2026-05-30 00:00:00+00:00,73372.3828125,73402.0,73327.1171875,73346.0,73346.0,0
2026-05-30 00:05:00+00:00,73348.078125,73423.640625,73329.8828125,73414.0234375,73414.0234375,0
2026-05-30 00:10:00+00:00,73414.0234375,73421.6796875,73378.3125,73386.703125,73386.703125,0
2026-05-30 00:15:00+00:00,73386.703125,73440.0,73386.703125,73386.859375,73386.859375,0
2026-05-30 00:20:00+00:00,73385.3984375,73430.03125,73379.9765625,73387.0390625,73387.0390625,42031104
2026-05-30 00:25:00+00:00,73368.0234375,73405.6328125,73362.96875,73364.0234375,73364.0234375,150386688
2026-05-30 00:30:00+00:00,73364.0234375,73364.0234375,73303.359375,73321.3828125,73321.3828125,0
2026-05-30 00:35:00+00:00,73334.703125,73413.6015625,73321.1328125,73413.59375,73413.59375,0
2026-05-30 00:40:00+00:00,73400.4609375,73414.046875,73394.203125,73414.046875,73414.046875,31066112
2026-05-30 00:45:00+00:00,73414.046875,73419.5078125,73400.6484375,73405.359375,73405.359375,0
2026-05-30 00:50:00+00:00,73405.359375,73477.84375,73401.0703125,73413.75,73413.75,1298432
2026-05-30 00:55:00+00:00,73432.4609375,73456.890625,73394.46875,73394.46875,73394.46875,0
2026-05-30 01:00:00+00:00,73405.3515625,73441.46875,73367.1171875,73429.2578125,73429.2578125,154251264
2026-05-30 01:05:00+00:00,73429.390625,73484.171875,73414.78125,73478.0078125,73478.0078125,12394496
2026-05-30 01:10:00+00:00,73478.0078125,73496.1171875,73471.296875,73486.859375,73486.859375,0
2026-05-30 01:15:00+00:00,73477.6796875,73513.28125,73457.15625,73513.1796875,73513.1796875,0
2026-05-30 01:20:00+00:00,73518.359375,73537.453125,73484.0,73537.453125,73537.453125,138321920
2026-05-30 01:25:00+00:00,73528.671875,73554.6796875,73527.8203125,73533.140625,73533.140625,0
2026-05-30 01:30:00+00:00,73516.0,73560.7734375,73516.0,73531.421875,73531.421875,107206656
2026-05-30 01:35:00+00:00,73531.25,73568.296875,73531.25,73538.2265625,73538.2265625,0
2026-05-30 01:40:00+00:00,73535.75,73535.75,73495.34375,73508.0078125,73508.0078125,10594304
2026-05-30 01:45:00+00:00,73508.03125,73545.0,73508.03125,73538.2578125,73538.2578125,0
2026-05-30 01:50:00+00:00,73538.2734375,73544.2421875,73490.0,73544.2421875,73544.2421875,123265024
2026-05-30 01:55:00+00:00,73551.359375,73562.0234375,73543.1796875,73560.7265625,73560.7265625,0
2026-05-30 02:00:00+00:00,73559.3828125,73614.3671875,73559.3828125,73600.0,73600.0,0
2026-05-30 02:05:00+00:00,73600.0,73600.0,73580.34375,73587.6875,73587.6875,33257472
2026-05-30 02:10:00+00:00,73587.703125,73598.4375,73560.7890625,73572.5390625,73572.5390625,0
2026-05-30 02:15:00+00:00,73572.5390625,73595.9921875,73560.0,73560.0,73560.0,0
2026-05-30 02:20:00+00:00,73558.203125,73558.2109375,73513.6875,73515.3515625,73515.3515625,102115328
2026-05-30 02:25:00+00:00,73515.3515625,73537.078125,73511.5078125,73533.859375,73533.859375,0
2026-05-30 02:30:00+00:00,73533.859375,73613.0390625,73533.8515625,73606.0078125,73606.0078125,61902848
2026-05-30 02:35:00+00:00,73606.0078125,73629.9765625,73593.75,73593.75,73593.75,0
2026-05-30 02:40:00+00:00,73593.7578125,73632.53125,73580.0,73606.4375,73606.4375,54079488
2026-05-30 02:45:00+00:00,73610.578125,73629.46875,73585.2578125,73585.2578125,73585.2578125,0
2026-05-30 02:50:00+00:00,73586.90625,73677.703125,73586.90625,73677.703125,73677.703125,131997696
2026-05-30 02:55:00+00:00,73677.7109375,73688.9921875,73658.0,73688.9921875,73688.9921875,19980288
2026-05-30 03:00:00+00:00,73660.7890625,73696.0390625,73642.296875,73694.0078125,73694.0078125,0
2026-05-30 03:05:00+00:00,73683.953125,73683.9765625,73655.96875,73679.0234375,73679.0234375,147496960
2026-05-30 03:10:00+00:00,73694.0078125,73694.0078125,73661.96875,73667.6796875,73667.6796875,297177088
2026-05-30 03:15:00+00:00,73657.1328125,73662.578125,73623.8984375,73631.4296875,73631.4296875,0
2026-05-30 03:20:00+00:00,73631.4296875,73659.6171875,73599.2109375,73599.2109375,73599.2109375,0
2026-05-30 03:25:00+00:00,73599.2109375,73603.171875,73563.5,73565.5,73565.5,1097728
2026-05-30 03:30:00+00:00,73565.5,73565.5,73505.109375,73513.6796875,73513.6796875,42143744
2026-05-30 03:35:00+00:00,73513.0703125,73513.2890625,73487.2109375,73507.1796875,73507.1796875,0
2026-05-30 03:40:00+00:00,73471.6171875,73485.6796875,73432.5703125,73435.8828125,73435.8828125,90386432
2026-05-30 03:45:00+00:00,73436.1875,73498.0,73435.328125,73497.9921875,73497.9921875,62312448
2026-05-30 03:50:00+00:00,73476.0078125,73478.0,73449.828125,73451.0,73451.0,0
2026-05-30 03:55:00+00:00,73451.0,73451.0,73416.0703125,73426.5625,73426.5625,232062976
2026-05-30 04:00:00+00:00,73426.546875,73482.4921875,73404.0390625,73404.0390625,73404.0390625,0
2026-05-30 04:05:00+00:00,73403.90625,73405.2421875,73250.7890625,73250.7890625,73250.7890625,242300928
2026-05-30 04:10:00+00:00,73252.3828125,73393.53125,73252.3828125,73392.09375,73392.09375,0
2026-05-30 04:15:00+00:00,73385.9765625,73385.9921875,73297.0625,73318.9765625,73318.9765625,0
2026-05-30 04:20:00+00:00,73318.96875,73330.03125,73289.8203125,73311.640625,73311.640625,24320000
2026-05-30 04:25:00+00:00,73311.640625,73319.9765625,73212.2421875,73249.9296875,73249.9296875,376444928
2026-05-30 04:30:00+00:00,73238.0078125,73251.9375,73139.40625,73139.40625,73139.40625,110608384
2026-05-30 04:35:00+00:00,73133.59375,73202.46875,73119.9296875,73175.5,73175.5,0
2026-05-30 04:40:00+00:00,73169.859375,73211.546875,73156.75,73211.5390625,73211.5390625,133033984
2026-05-30 04:45:00+00:00,73218.0,73278.0,73198.1171875,73264.0625,73264.0625,56274944
2026-05-30 04:50:00+00:00,73268.4375,73289.9921875,73229.1796875,73229.1796875,73229.1796875,0
2026-05-30 04:55:00+00:00,73250.84375,73292.9609375,73235.796875,73292.953125,73292.953125,53348352
2026-05-30 05:00:00+00:00,73286.7265625,73318.53125,73240.5,73318.53125,73318.53125,174411776
2026-05-30 05:05:00+00:00,73318.3125,73518.0,73318.3125,73411.078125,73411.078125,43589632
2026-05-30 05:10:00+00:00,73410.453125,73419.453125,73375.9765625,73405.9375,73405.9375,197251072
2026-05-30 05:15:00+00:00,73405.9921875,73450.7109375,73400.0078125,73431.6171875,73431.6171875,0
2026-05-30 05:20:00+00:00,73430.0,73450.671875,73419.7578125,73419.7578125,73419.7578125,120897536
