Date,IBIT_Net_Flow_USD,FBTC_Net_Flow_USD,BITB_Net_Flow_USD,ARKB_Net_Flow_USD,BTCO_Net_Flow_USD,EZBC_Net_Flow_USD,BRRR_Net_Flow_USD,HODL_Net_Flow_USD,BTCW_Net_Flow_USD,MSBT_Net_Flow_USD,GBTC_Net_Flow_USD,BTC_Net_Flow_USD,Total_Net_Flow_USD,Source_URL
2024-02-27,520200000.00000006,126000000,18400000,5400000,2600000,16600000.000000002,0,9700000,3600000,,-125600000,,576900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-02-28,612100000,245200000,9900000,23800000,0,0,0,-3400000,2200000,,-216400000,,673400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-02-29,603900000,44800000,21700000,9900000,-1500000,5400000,0,7000000,0,,-598900000,,92300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-03-01,202500000,49300000,42300000,55100000,0,5400000,0,-1800000,0,,-492400000,,-139600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-03-04,420100000,404600000,90900000,38200000,-25700000,7800000,3700000,-5700000,-3200000,,-368000000,,562700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-03-05,788300000,125600000,3700000,63700000,-14200000,3600000,0,3500000,6600000,,-332500000,,648300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-03-06,281700000,205700000,28600000,41300000,3000000,5800000,40700000,0,1400000,,-276200000,,332000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-03-07,244200000,473400000,41400000,42100000,0,0,41800000,1900000,2500000,,-374800000,,472500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-03-08,336300000,130300000.00000001,8000000,1700000,-7600000,8000000,41400000,7800000,0,,-302900000,,223000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-03-11,562900000,215500000,49800000,13000000,-9700000,0,43400000,118800000,5800000,,-494100000,,505400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-03-12,849000000,51600000,24600000,93000000,-19700000,0,39600000,82900000,3000000,,-79000000,,1045000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-03-13,586500000,281500000,5600000,44600000,0,19100000,4099999.9999999995,16500000,2300000,,-276500000,,683700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-03-14,345400000,13700000,0,3500000,0,4000000,9400000,13800000,0,,-257100000.00000003,,132699999.99999999,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-03-15,139800000,155600000,20500000,0,0,2000000,1200000,15800000,3300000,,-139400000,,198800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-03-18,451500000,5900000,17600000,2700000,0,0,4800000,5700000,0,,-642500000,,-154300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-03-19,75200000,39600000,2500000,0,0,0,0,0,0,,-443500000,,-326200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-03-20,49300000,12900000,18600000,23300000,-10200000,19000000,2900000,9300000,0,,-386600000,,-261500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-03-21,233400000,2900000,12000000,2000000,4200000,3800000,4700000,1800000,0,,-358800000,,-94000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-03-22,18900000,18100000,16300000,5400000,4500000,29600000,25500000,0,0,,-169900000,,-51600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-03-25,35500000,261800000,14000000,0,18500000,20500000,11200000,4000000,0,,-350100000,,15400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-03-26,162200000,279100000,16700000,73600000,26700000,26300000,29900000,15800000,0,,-212300000,,418000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-03-27,323800000,1500000,0,200700000,4800000,4000000,5100000,1900000,1500000,,-299800000,,243500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-03-28,95100000,68100000,67000000,27600000,3900000,0,6000000,20000000,0,,-104900000,,182800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-01,165900000,44000000,1100000,-300000,4200000,0,0,2000000,0,,-302600000,,-85700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-02,150500000,44800000,4300000,-87500000,0,0,3700000,5600000,0,,-81900000,,39500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-03,42000000,116700000,23000000,0,0,3800000,0,0,3100000,,-75100000,,113500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-04,144000000,106600000,11200000,12000000,0,0,3400000,15500000,0,,-79300000,,213400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-05,308800000,83000000,7400000,0,2700000,0,0,0,0,,-198900000,,203000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-08,21300000,6300000,40300000,9300000,0,0,0,0,2300000,,-303300000,,-223800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-09,128699999.99999999,3000000,3800000,0,0,0,0,0,0,,-154900000,,-19400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-10,33299999.999999996,76300000,24300000,7300000,0,0,0,0,0,,-17500000,,123700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-11,192100000,4600000,11100000,0,0,0,8400000,0,0,,-124900000,,91300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-12,111100000,0,0,0,0,0,0,0,0,,-166200000,,-55100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-15,73400000,0,0,0,0,0,0,0,0,,-110100000,,-36700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-16,25800000,1400000,0,-12900000,0,1800000,1700000,3600000,0,,-79400000,,-58000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-17,18100000,0,-7300000,-42700000,0,0,0,0,0,,-133100000,,-165000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-18,18800000,37400000,12800000,9500000,0,0,0,7200000,0,,-90000000,,-4300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-19,29300000,54800000,4900000,12500000,3900000,1900000,0,-1800000,0,,-45800000,,59700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-22,19700000,34800000,2200000,22600000,2700000,7700000,0,7500000,0,,-35000000,,62200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-23,37900000,4400000,23200000,33299999.999999996,-300000,1900000,0,-1900000,0,,-66900000.00000001,,31600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-24,0,5600000,0,4200000,0,0,0,0,0,,-130400000,,-120600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-25,0,-22600000,-6000000,-31300000,0,1900000,-20200000,0,0,,-139400000,,-217600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-26,0,-2800000,-3800000,5400000,0,0,0,0,0,,-82400000,,-83600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-29,0,-6900000,6800000,-31300000,0,1800000,2700000,0,0,,-24700000,,-51600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-04-30,0,-35300000,-34300000,3600000,-2400000,0,0,0,0,,-93200000,,-161600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-01,-36900000,-191100000,-29000000,-98100000,-5400000,-13400000,-9700000,-6500000,-6200000,,-167400000,,-563700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-02,0,0,0,13300000,1500000,3400000,2300000,0,0,,-54900000,,-34400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-03,12700000,102600000,33500000,28100000,33200000.000000004,60900000,35600000,8700000,0,,63000000,,378300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-06,21500000,99200000,2100000,75600000,11100000,1800000,0,1800000,0,,3900000,,217000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-07,0,4099999.9999999995,0,2800000,6000000,0,0,0,0,,-28600000,,-15700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-08,0,0,11500000,0,0,0,0,0,0,,0,,11500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-09,14200000,2700000,6800000,4400000,2200000,1800000,0,0,0,,-43400000,,-11300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-10,12400000,5300000,0,0,0,0,0,0,600000,,-103000000,,-84700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-13,0,38600000,20300000,0,0,0,0,7100000,0,,0,,66000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-14,0,8100000,0,133100000,5500000,1800000,1200000,1700000,0,,-50900000,,100500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-15,0,131300000.00000001,86300000,38600000,4600000,1900000,3700000,7500000,2100000,,27000000,,303000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-16,93700000,67099999.99999999,1400000,62000000,6200000,3800000,18500000,0,0,,4600000,,257300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-17,38100000,99400000,20800000,10000000,5700000,0,6400000,9500000,0,,31600000,,221500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-20,66400000.00000001,64000000,24000000,68300000,0,0,0,0,5200000,,9300000,,237200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-21,290000000,25800000,-4200000,0,0,0,0,-5900000,0,,0,,305700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-22,92000000,74600000,0,3500000,0,0,0,0,0,,-16100000.000000002,,154000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-23,89000000,19100000,0,2000000,2000000,0,0,9500000,0,,-13700000,,107900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-24,182100000,43700000,6400000,4099999.9999999995,0,0,0,15600000,0,,0,,251900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-28,102500000,34300000,3300000,4099999.9999999995,3400000,0,1200000,0,1400000,,-105200000,,45000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-29,24600000,17700000,11000000,4000000,1000000,0,0,0,1100000,,-31100000,,28300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-30,1600000,119100000,25900000,-99900000,2100000,0,0,0,0,,0,,48800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-05-31,169100000,5900000,0,0,0,0,0,-1900000,0,,-124300000,,48800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-06-03,0,77000000,14300000,10700000,0,0,0,2000000,1100000,,0,,105100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-06-04,274400000,378700000,61000000,138700000,0,0,1600000,4000000,0,,28200000,,886600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-06-05,155400000,220600000,18500000,71400000,3600000,0,0,4000000,0,,14600000,,488100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-06-06,349900000,3100000,-3100000,-96600000,0,0,0,2000000,0,,-37600000,,217700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-06-07,168300000,0,-7900000,6900000,0,0,0,0,0,,-36300000,,131000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-06-10,6300000,-3000000,7600000,0,-20500000,0,-15800000,0,0,,-39500000,,-64900000.00000001,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-06-11,0,-7400000,-11700000,-56500000,0,0,0,-3800000,0,,-121000000,,-200400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-06-12,15600000,50600000,14500000,8500000,0,0,0,11600000,0,,0,,100800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-06-13,18200000,-106400000,-9800000,-52700000,-2700000,0,0,-11300000,0,,-61500000,,-226200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-06-14,1500000,-80100000,-7100000,-49000000,-2900000,0,0,0,0,,-52300000,,-189900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-06-17,0,-92000000,2900000,-50000000,0,0,0,-3800000,0,,-3000000,,-145900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-06-18,0,-83100000,-7000000,0,0,0,0,0,0,,-62300000,,-152400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-06-20,1500000,-51100000,-31500000,0,-2000000,0,0,-3700000,0,,-53100000,,-139900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-06-21,0,-44800000,0,-28800000,0,1900000,0,0,0,,-34200000,,-105900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-06-24,0,-35200000,-8199999.999999999,-7200000,-2400000,-20900000,0,-10200000,0,,-90400000,,-174500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-06-25,0,48800000,15200000,-6200000,0,0,0,3500000,0,,-30300000,,31000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-06-26,0,18600000,0,-4900000,0,0,0,3400000,0,,4300000,,21400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-06-27,0,6700000,8000000,1800000,3100000,3600000,0,0,0,,-11400000,,11800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-06-28,82400000,-25000000,0,42800000,0,0,0,0,0,,-27200000,,73000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-01,0,65000000,41400000,12700000,3200000,1800000,0,5400000,0,,0,,129500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-02,14100000,5400000,-6800000,2500000,0,0,0,3500000,0,,-32400000,,-13700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-03,0,6500000,0,0,0,0,0,0,0,,-27000000,,-20500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-05,0,117400000,30200000,11300000,0,0,0,12800000,0,,-28600000,,143100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-08,187200000,61500000,11000000,8400000,0,0,0,1600000,0,,25100000,,294800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-09,121000000,91000000,-4700000,43300000,0,0,0,3300000,0,,-37500000,,216400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-10,22200000,57800000,4700000,5700000,9500000,31700000,20700000,3300000,0,,-8199999.999999999,,147400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-11,72100000,32700000.000000004,7500000,4300000,0,0,0,0,0,,-37700000,,78900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-12,120000000,115100000,28400000,13000000,4000000,0,0,6600000,0,,23000000,,310100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-15,117200000,36100000,15200000,117200000,7900000,3700000,0,3600000,0,,0,,300900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-16,260200000,61100000,17300000,29800000,20500000,9400000,2200000,22000000,0,,0,,422500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-17,110400000,2800000,-6000000,0,0,0,0,0,0,,-53900000,,53300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-18,102700000,2800000,0,-47600000,0,0,0,1800000,0,,-22500000,,37200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-19,116200000,141000000,44600000,43600000,6400000,3900000,7600000,41800000,1800000,,20300000,,427200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-22,526700000.00000006,23700000,-47700000,0,13700000,7900000,0,-38400000,0,,0,,485900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-23,71900000,0,-70300000,-52300000,0,0,0,0,0,,-27300000,,-78000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-24,66000000,1400000,0,3300000,0,0,0,0,0,,-26200000,,44500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-25,70700000,0,0,0,0,0,0,0,0,,-39600000,,31100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-26,23200000,4500000,31400000,0,0,0,0,19200000,0,,-26500000,,51800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-29,205600000,-5900000,-21300000,0,0,0,0,0,0,,-54300000,,124100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-30,74900000,-2900000,-3200000,-7900000,0,0,0,-5600000,0,,-73600000,,-18300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-07-31,21000000,-31600000,-2500000,-4600000,0,0,0,0,0,,0,18000000,300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-01,25900000,-48400000,-20700000,-22400000,0,0,0,-3600000,0,,-71300000,191100000,50600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-02,42800000,-104100000,-29400000,-87700000,0,0,0,-23000000,0,,-45900000,9900000,-237400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-05,0,-58000000,2900000,-69000000,0,0,0,3000000,0,,-69100000,21800000,-168400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-06,0,-64500000,0,-28900000,0,-23000000,0,0,0,,-32200000.000000004,0,-148600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-07,52500000,0,3000000,0,0,0,0,0,10500000,,-30600000,9700000,45100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-08,157600000,65200000,0,32799999.999999996,0,0,0,3400000,118500000,,-182900000,0,194600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-09,9600000,-19800000,-18100000,0,0,0,0,0,0,,-77000000,15600000,-89700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-12,13400000,0,-17100000,35400000,0,0,0,0,0,,-11800000,7900000,27800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-13,34600000,22600000,16500000,-6100000,0,0,0,0,0,,-28600000,0,39000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-14,2700000,-18000000,-5800000,-6800000,0,3400000,0,0,0,,-56900000,0,-81400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-15,0,16200000,6200000,0,0,0,0,0,0,,-25000000,13700000,11100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-16,20400000,61300000,12000000,13400000,0,1700000,0,0,0,,-72900000,0,35900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-19,92700000,3900000,-25700000,0,-8800000,0,0,0,0,,0,0,62100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-20,55400000,0,-6500000,51900000,0,0,0,0,0,,-12800000,0,88000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-21,8400000,10700000,10000000,0,2500000,3500000,0,0,0,,-9800000,14200000,39500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-22,75500000,9200000,-11500000,7800000,0,0,0,3400000,4800000,,-28400000,4000000,64800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-23,86800000,64000000,42300000,23800000,3200000,0,2300000,14400000,0,,-35600000,50800000,252000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-26,224100000,-8300000.000000001,-16600000.000000002,0,0,5500000,0,-7200000,5100000,,0,0,202600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-27,0,0,-6800000,-102000000,0,0,0,0,0,,-18300000,0,-127100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-28,0,-10400000,-8700000,-59300000,0,0,0,-10100000,0,,-8000000,-8800000,-105300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-29,-13500000,-31100000,-8100000,5300000,0,0,-1700000,0,0,,-22700000,0,-71800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-08-30,0,-12900000,-16399999.999999998,-65000000,-11100000,0,0,0,0,,-70200000,0,-175600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-09-03,0,-162300000,-25000000,-33600000,-2300000,-8400000,-2500000,-3300000,0,,-50400000,0,-287800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-09-04,0,-7600000,9500000,0,0,0,0,-4900000,0,,-34200000,0,-37200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-09-05,0,-149500000,-30000000,0,0,0,0,0,0,,-23200000,-8400000,-211100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-09-06,0,-85500000,-14300000,-7200000,0,0,-4600000,0,0,,-52900000,-5500000,-170000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-09-09,-9100000,28600000,22000000,6800000,3100000,0,0,0,0,,-22800000,0,28600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-09-10,0,63200000,0,12700000,0,0,0,0,0,,0,41100000,117000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-09-11,0,12600000,0,-54000000,2600000,0,0,0,0,,-4600000,-500000,-43900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-09-12,0,11500000,2200000,18300000,0,3400000,0,4900000,0,,-6500000,5200000,39000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-09-13,0,102100000,43100000,99300000,0,5200000,1700000,5100000,0,,6700000,0,263200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-09-16,15800000,5100000,0,0,0,5000000,0,4900000,0,,-20800000,2800000,12800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-09-17,0,56600000,45400000,42200000,10200000,8700000,0,20500000,3200000,,0,0,186800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-09-18,0,0,-3900000,-43400000,0,0,0,0,0,,-8100000,2700000,-52700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-09-19,0,49900000,10400000,81100000,0,7400000,0,0,0,,0,9500000,158300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-09-20,0,26100000,15100000,22000000,3100000,0,5200000,7100000,0,,0,13400000,92000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-09-23,11500000,24900000,0,0,0,0,0,0,0,,-40300000,8400000,4500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-09-24,98900000,16800000,17400000,0,0,0,0,0,0,,0,2900000,136000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-09-25,184400000,-33200000.000000004,2100000,-47400000,0,0,0,0,0,,0,0,105900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-09-26,93400000,74000000,50400000,113800000,6500000,5700000,4600000,22100000,0,,-7700000,2900000,365700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-09-27,110800000,123600000,12900000,203100000,3300000,0,3300000,11200000,0,,26200000,0,494400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-09-30,72200000,8300000.000000001,-9700000,-9500000,0,0,0,0,0,,0,0,61300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-01,40800000,-144700000,-32700000.000000004,-84300000,0,0,0,-15800000,0,,-5900000,0,-242600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-02,-13700000,21100000,-11500000,-60300000,0,0,0,0,0,,-27300000,0,-91700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-03,36000000,-37200000,2600000,-58000000,2400000,0,0,0,0,,0,0,-54200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-04,0,13600000,15300000,5300000,0,0,0,5300000,0,,-13900000,0,25600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-07,97900000,103700000,13100000,12600000,2500000,0,0,5400000,0,,0,0,235200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-08,39600000,-48800000,0,0,0,0,0,0,0,,-9400000,0,-18600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-09,13900000,0,-10000000,-44500000,0,0,0,0,0,,0,0,-40600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-10,-10800000,-33800000,-6200000,-30300000,0,0,0,0,0,,-18500000,-21200000,-120800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-11,0,117100000,38800000,97600000,7900000,0,0,14300000,0,,-22100000,0,253600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-14,79500000,239300000,100200000,69800000,4900000,5700000,2800000,11200000,0,,37800000,4700000,555900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-15,288800000,35000000,700000,14700000,0,0,0,7600000,2800000,,8000000,13400000,371000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-16,393400000,14800000,12900000,11500000,6400000,11800000,1900000,5800000,0,,0,0,458500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-17,309000000,11700000,0,100200000,0,3900000,0,0,0,,45700000,0,470500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-18,70400000,18000000,36000000,109900000,16100000.000000002,0,0,23300000,0,,0,0,273700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-21,329000000,5900000,-22100000,-6100000,0,0,0,-7600000,0,,-4800000,0,294300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-22,43000000,8800000,0,-134700000,0,0,0,3800000,0,,0,0,-79100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-23,317500000,0,-25200000,-99000000,0,0,0,-5600000,0,,0,4700000,192400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-24,165500000,0,29600000,0,0,0,0,0,0,,-7100000,0,188000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-25,292000000,56900000,2500000,33400000,0,0,0,11300000,0,,0,5900000,402000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-28,315200000,44100000,38700000,59800000,0,0,0,0,0,,0,21600000,479400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-29,642900000,133900000,52500000,12400000,0,0,0,16500000,0,,-17300000,29200000,870100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-30,872000000,12600000,-23900000,7200000,7200000,0,6100000,4099999.9999999995,0,,0,8000000,893300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-10-31,318800000,-75200000,-74000000,-94200000,0,0,1900000,-13900000,0,,-31100000,0,32299999.999999996,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-11-01,0,-25600000,-5600000,-24100000,0,0,-1700000,-5900000,0,,-5500000,13500000,-54900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-11-04,38400000,-169600000,-79800000,-138300000,0,-17600000,-5700000,-15300000,0,,-63700000,-89500000,-541100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-11-05,-44200000,-68200000,19300000,-12500000,0,-6000000,-1300000,-3900000,0,,0,0,-116800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-11-06,-69100000,308800000,100900000,127000000,0,0,-2600000,17200000,0,,30900000,108800000,621900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-11-07,1119900000,190900000,13400000,17600000,0,0,0,4300000,0,,7300000,20400000,1373800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-11-08,206100000,33500000,23000000,0,0,17800000,0,13000000,0,,0,0,293400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-11-11,756500000,135100000,42700000,108600000,8700000,10100000,0,0,0,,24200000,28200000,1114100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-11-12,778300000,37200000,0,-5400000,0,0,0,10100000,0,,-17800000,15100000,817500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-11-13,230800000,186100000,12300000,14500000,0,0,0,5100000,0,,0,61300000,510100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
