,1M/3M T-bill yields,SOFR-OIS spread,TGCR/BGCR repo,Government MMF flows,Bank 5Y CDS/funding,Bank equities/KBW
Stablecoin net mint/burn,17.91092115430267,-1.8203835280770093,22.695557353348264,0.9278899225677755,-3.632871584547389,-4.841167923321191
Stablecoin peg deviation,-0.9070374211576125,-1.5980187377047868,0.6263125476836158,0.5937269969080605,-3.4844585940006065,-0.40095569685310073
Redemption-pressure index,-0.14436829232759002,-0.36963555623697053,-1.3504655142393462,-8.554420609617317,-0.2997272012960418,0.1897075058580517
BTC/ETH returns,7.50377635213492,-2.5981362285643925,19.94423603079078,2.6971493572006935,3.9538827750285197,-0.9374922036568769
Spot crypto ETF flows,13.090932621641112,-2.3612788739302664,2.496077958140948,-5.126990202229756,-0.6122829136675163,-6.909038975297886
Tokenized-fund market cap,21.47639149159167,-30.81052104918595,9.739204061560349,-0.890926888473417,23.593628561694818,32.86847215938353
