,1M/3M T-bill yields,SOFR-OIS spread,TGCR/BGCR repo,Government MMF flows,Bank 5Y CDS/funding,Bank equities/KBW
Stablecoin net mint/burn,18.322623346752263,7.012882458732463,34.77974125821363,2.7081418533628305,3.0406640956364672,2.304423342839472
Stablecoin peg deviation,0.03060312698695543,0.7380101059541735,2.548388618721805,0.7717833070078421,0.9371177766048624,1.1487883411501272
Redemption-pressure index,0.40829155249192145,0.4131335480741297,0.21358280961746132,0.65281428713228,0.513397032657713,0.19813848757756153
BTC/ETH returns,10.334857743755332,0.5060070795459423,21.142362539339274,3.672204035986684,18.930138167143305,17.34226544758588
Spot crypto ETF flows,13.46647947212787,4.852148720336602,2.897487715037893,0.8175795838355746,6.993327976872756,7.72267857351822
Tokenized-fund market cap,22.415896302116952,4.180429627388898,10.652644949222232,0.22211631602302642,36.61080247525812,36.14700718391875
