,1M/3M T-bill yields,SOFR-OIS spread,TGCR/BGCR repo,Government MMF flows,Bank 5Y CDS/funding,Bank equities/KBW
Stablecoin net mint/burn,0.4117021924495914,8.833265986809472,12.084183904865371,1.780251930795055,6.673535680183856,7.145591266160663
Stablecoin peg deviation,0.937640548144568,2.3360288436589602,1.9220760710381892,0.17805631009978162,4.421576370605469,1.549744038003228
Redemption-pressure index,0.5526598448195115,0.7827691043111003,1.5640483238568075,9.207234896749597,0.8131242339537548,0.008430981719509813
BTC/ETH returns,2.8310813916204127,3.1041433081103347,1.1981265085484927,0.9750546787859906,14.976255392114785,18.279757651242758
Spot crypto ETF flows,0.37554685048675773,7.213427594266868,0.40140975689694464,5.944569786065331,7.605610890540272,14.631717548816106
Tokenized-fund market cap,0.9395048105252833,34.99095067657485,0.9134408876618829,1.1130432044964433,13.017173913563301,3.278535024535223
